# Energy_eV TotalXS_barn
7.850456200204509669e-03 7.736048763580001264e+00
7.904927622696419562e-03 7.690265847006754640e+00
7.959777002314986222e-03 7.644808298164534222e+00
8.015006961565405291e-03 7.599691619908665707e+00
8.070620141149507584e-03 7.554913325355533615e+00
8.126619200091946341e-03 7.510454172885826729e+00
8.183006815867388886e-03 7.466312038656631067e+00
8.239785684528520143e-03 7.422484814007288101e+00
8.296958520834906564e-03 7.378970405358908025e+00
8.354528058382871408e-03 7.335766734114545606e+00
8.412497049736117685e-03 7.292933093373452635e+00
8.470868266557402340e-03 7.250406811172888766e+00
8.529644499741025759e-03 7.208185550314069268e+00
8.588828559546249353e-03 7.166267294133804810e+00
8.648423275731726215e-03 7.124650040483395230e+00
8.708431497690724554e-03 7.083331801633299563e+00
8.768856094587426653e-03 7.042327383958316034e+00
8.829699955494091715e-03 7.001636210971661889e+00
8.890965989529158939e-03 6.961238417619356689e+00
8.952657125996400095e-03 6.921132074590601313e+00
9.014776314524916914e-03 6.881315266538802433e+00
9.077326525210224414e-03 6.841786091990337937e+00
9.140310748756232812e-03 6.802542663254027566e+00
9.203731996618221695e-03 6.763647174066423240e+00
9.267593301146882789e-03 6.725036105602454128e+00
9.331897715733238757e-03 6.686705662935964689e+00
9.396648314954691300e-03 6.648654015813835194e+00
9.461848194722002545e-03 6.610879347344756241e+00
9.527500472427289507e-03 6.573379853912767246e+00
9.593608287093146128e-03 6.536163369460226136e+00
9.660174799522646544e-03 6.499229987745217763e+00
9.727203192450536648e-03 6.462566595558897120e+00
9.794696670695395360e-03 6.426171442551461332e+00
9.862658461312821118e-03 6.390042791232676933e+00
9.931091813749801447e-03 6.354178916889193118e+00
1.000000000000000021e-02 6.318578107502563768e+00
1.006938631476027649e-02 6.283333228403753523e+00
1.013925407558815411e-02 6.248354135960197731e+00
1.020960662306046561e-02 6.213633746307094086e+00
1.028044732093309245e-02 6.179170402244229976e+00
1.035177955630176179e-02 6.144962458898871382e+00
1.042360673976401760e-02 6.111008283647572981e+00
1.049593230558227772e-02 6.077323687325341339e+00
1.056875971184803933e-02 6.043912625228959890e+00
1.064209244064724148e-02 6.010750786581763982e+00
1.071593399822671176e-02 5.977836588933740813e+00
1.079028791516184124e-02 5.945168461715557129e+00
1.086515774652538346e-02 5.912744846163975332e+00
1.094054707205742438e-02 5.880564195247830028e+00
1.101645949633656314e-02 5.848676646569274773e+00
1.109289864895222737e-02 5.817033810052744336e+00
1.116986818467823224e-02 5.785629758630358666e+00
1.124737178364751920e-02 5.754462994189464276e+00
1.132541315152811416e-02 5.723532030006663440e+00
1.140399601970032428e-02 5.692835390677256413e+00
1.148312414543511094e-02 5.662401815129036287e+00
1.156280131207376022e-02 5.632243713898593462e+00
1.164303132920876775e-02 5.602316093852413026e+00
1.172381803286598467e-02 5.572617527741776655e+00
1.180516528568804902e-02 5.543146599316910894e+00
1.188707697711903315e-02 5.513901903259850634e+00
1.196955702359043389e-02 5.484882045117835503e+00
1.205260936870842549e-02 5.456148578858675435e+00
