Time_of_Flight_(µs),Corrected_Flux,Corrected_Flux_Uncertainty
4.969999999999999432e+02,2.217500000000000000e+04,1.489127261183530209e+02
4.989999999999998863e+02,2.218900000000000000e+04,1.489597261007147608e+02
5.009999999999999432e+02,2.260300000000000000e+04,1.503429413042067608e+02
5.030000000000000000e+02,2.233500000000000000e+04,1.494489879524116986e+02
5.049999999999999432e+02,2.242200000000000000e+04,1.497397742752400518e+02
5.069999999999999432e+02,2.245000000000000000e+04,1.498332406377157895e+02
5.089999999999998863e+02,2.284900000000000000e+04,1.511588568361112266e+02
5.109999999999999432e+02,2.249100000000000000e+04,1.499699969993998820e+02
5.129999999999998863e+02,2.277100000000000000e+04,1.509006295546823821e+02
5.149999999999998863e+02,2.275600000000000000e+04,1.508509197850653436e+02
5.169999999999998863e+02,2.314100000000000000e+04,1.521216618368343916e+02
5.189999999999998863e+02,2.280200000000000000e+04,1.510033112219716713e+02
5.210000000000000000e+02,2.295600000000000000e+04,1.515123757321489393e+02
5.229999999999998863e+02,2.315100000000000000e+04,1.521545267154397152e+02
5.250000000000000000e+02,2.319400000000000000e+04,1.522957648787378275e+02
5.269999999999998863e+02,2.323000000000000000e+04,1.524139101263390330e+02
5.290000000000000000e+02,2.341800000000000000e+04,1.530294089382805396e+02
5.309999999999998863e+02,2.340800000000000000e+04,1.529967319912429957e+02
5.330000000000000000e+02,2.329200000000000000e+04,1.526171681037230883e+02
5.349999999999998863e+02,2.363500000000000000e+04,1.537367880502242770e+02
5.369999999999998863e+02,2.332500000000000000e+04,1.527252434930123854e+02
5.389999999999998863e+02,2.352900000000000000e+04,1.533916555748728570e+02
5.409999999999998863e+02,2.376800000000000000e+04,1.541687387248130108e+02
5.430000000000000000e+02,2.327100000000000000e+04,1.525483529901248403e+02
5.449999999999998863e+02,2.363400000000000000e+04,1.537335357038282382e+02
5.470000000000000000e+02,2.372900000000000000e+04,1.540422020097103086e+02
5.489999999999998863e+02,2.327200000000000000e+04,1.525516306041972712e+02
5.510000000000000000e+02,2.361000000000000000e+04,1.536554587380487646e+02
